word,level,status,mastery,last_seen,scene,source
absorb,B2,learning,1,2026-05-25,Ada,Oxford5000
abstract,B2,learning,1,2026-05-25,Claire,Oxford5000
accent,B2,learning,1,2026-05-25,Jill,Oxford5000
accidentally,B2,learning,1,2026-05-25,Sherry,Oxford5000
accommodate,B2,learning,1,2026-05-25,Rose,Oxford5000
accommodation,B2,learning,1,2026-05-25,Grace,Oxford5000
accomplish,B2,learning,1,2026-05-25,Rebecca,Oxford5000
accountant,B2,learning,1,2026-05-25,Ashley,Oxford5000
accuracy,B2,new,0,,,Oxford5000
accurately,B2,new,0,,,Oxford5000
acid,B2,new,0,,,Oxford5000
acre,B2,new,0,,,Oxford5000
activate,B2,new,0,,,Oxford5000
addiction,B2,new,0,,,Oxford5000
additionally,B2,new,0,,,Oxford5000
adequate,B2,new,0,,,Oxford5000
adequately,B2,new,0,,,Oxford5000
adjust,B2,new,0,,,Oxford5000
affordable,B2,new,0,,,Oxford5000
aged,B2,new,0,,,Oxford5000
agriculture,B2,new,0,,,Oxford5000
aids,B2,new,0,,,Oxford5000
alien,B2,new,0,,,Oxford5000
alongside,B2,new,0,,,Oxford5000
altogether,B2,new,0,,,Oxford5000
ambitious,B2,new,0,,,Oxford5000
ambulance,B2,new,0,,,Oxford5000
amusing,B2,new,0,,,Oxford5000
analyst,B2,new,0,,,Oxford5000
ancestor,B2,new,0,,,Oxford5000
animation,B2,new,0,,,Oxford5000
annually,B2,new,0,,,Oxford5000
anticipate,B2,new,0,,,Oxford5000
anxiety,B2,new,0,,,Oxford5000
apology,B2,new,0,,,Oxford5000
applicant,B2,new,0,,,Oxford5000
appropriately,B2,new,0,,,Oxford5000
arrow,B2,new,0,,,Oxford5000
artwork,B2,new,0,,,Oxford5000
asset,B2,new,0,,,Oxford5000
assign,B2,new,0,,,Oxford5000
assistance,B2,new,0,,,Oxford5000
assumption,B2,new,0,,,Oxford5000
assure,B2,new,0,,,Oxford5000
astonishing,B2,new,0,,,Oxford5000
athletic,B2,new,0,,,Oxford5000
attachment,B2,new,0,,,Oxford5000
audio,B2,new,0,,,Oxford5000
awareness,B2,new,0,,,Oxford5000
awkward,B2,new,0,,,Oxford5000
badge,B2,new,0,,,Oxford5000
balanced,B2,new,0,,,Oxford5000
ballet,B2,new,0,,,Oxford5000
balloon,B2,new,0,,,Oxford5000
barely,B2,new,0,,,Oxford5000
bargain,B2,new,0,,,Oxford5000
basement,B2,new,0,,,Oxford5000
basket,B2,new,0,,,Oxford5000
bat,B2,new,0,,,Oxford5000
beneficial,B2,new,0,,,Oxford5000
beside,B2,new,0,,,Oxford5000
bias,B2,new,0,,,Oxford5000
bid,B2,new,0,,,Oxford5000
biological,B2,new,0,,,Oxford5000
blanket,B2,new,0,,,Oxford5000
blow,B2,new,0,,,Oxford5000
bold,B2,new,0,,,Oxford5000
bombing,B2,new,0,,,Oxford5000
boost,B2,new,0,,,Oxford5000
bound,B2,new,0,,,Oxford5000
brick,B2,new,0,,,Oxford5000
briefly,B2,new,0,,,Oxford5000
broadcaster,B2,new,0,,,Oxford5000
broadly,B2,new,0,,,Oxford5000
buck,B2,new,0,,,Oxford5000
bug,B2,new,0,,,Oxford5000
cabin,B2,new,0,,,Oxford5000
canal,B2,new,0,,,Oxford5000
candle,B2,new,0,,,Oxford5000
carbon,B2,new,0,,,Oxford5000
castle,B2,new,0,,,Oxford5000
casual,B2,new,0,,,Oxford5000
