word,level,status,mastery,last_seen,scene
abandon,B2,new,0,,
ability,A2,new,0,,
able,A2,new,0,,
abroad,A2,new,0,,
absolute,B2,new,0,,
absolutely,B1,new,0,,
academic,B1,new,0,,
accept,A2,new,0,,
acceptable,B2,new,0,,
accident,A2,new,0,,
accommodation,B1,new,0,,
accompany,B2,new,0,,
account,B1,new,0,,
accurate,B2,new,0,,
accuse,B2,new,0,,
achieve,A2,new,0,,
achievement,B1,new,0,,
acknowledge,B2,new,0,,
acquire,B2,new,0,,
act,A2,new,0,,
action,A1,new,0,,
active,A2,new,0,,
activity,A1,new,0,,
actor,A1,new,0,,
actress,A1,new,0,,
actual,B2,new,0,,
actually,A2,new,0,,
ad,B1,new,0,,
adapt,B2,new,0,,
add,A1,new,0,,
addition,B1,new,0,,
additional,B2,new,0,,
address,A1,new,0,,
administration,B2,new,0,,
admire,B1,new,0,,
admit,B1,new,0,,
adopt,B2,new,0,,
adult,A1,new,0,,
advanced,B1,new,0,,
advantage,A2,new,0,,
adventure,A2,new,0,,
advertise,A2,new,0,,
advertisement,A2,new,0,,
advertising,A2,new,0,,
advice,A1,new,0,,
advise,B1,new,0,,
affair,B2,new,0,,
affect,A2,new,0,,
afford,B1,new,0,,
afraid,A1,new,0,,
after,A1,new,0,,
afternoon,A1,new,0,,
afterwards,B2,new,0,,
again,A1,new,0,,
against,A2,new,0,,
age,A1,new,0,,
aged,B1,new,0,,
agency,B2,new,0,,
agenda,B2,new,0,,
agent,B1,new,0,,
aggressive,B2,new,0,,
ago,A1,new,0,,
agree,A1,new,0,,
agreement,B1,new,0,,
ah,A2,new,0,,
ahead,B1,new,0,,
air,A1,new,0,,
aircraft,B2,new,0,,
airline,A2,new,0,,
airport,A1,new,0,,
alarm,B1,new,0,,
album,B1,new,0,,
alcohol,B1,new,0,,
alcoholic,B1,new,0,,
alive,A2,new,0,,
allow,A2,new,0,,
almost,A2,new,0,,
already,A2,new,0,,
also,A1,new,0,,
alter,B2,new,0,,
alternative,A2,new,0,,
although,A2,new,0,,
always,A1,new,0,,
amazed,B1,new,0,,
amazing,A1,new,0,,
ambition,B1,new,0,,
ambitious,B1,new,0,,
among,A2,new,0,,
amount,A2,new,0,,
analyse,B1,new,0,,
analysis,B1,new,0,,
ancient,A2,new,0,,
and,A1,new,0,,
anger,B2,new,0,,
angle,B2,new,0,,
angry,A1,new,0,,
animal,A1,new,0,,
ankle,A2,new,0,,
anniversary,B2,new,0,,
announce,B1,new,0,,
announcement,B1,new,0,,
annoy,B1,new,0,,
annoyed,B1,new,0,,
annoying,B1,new,0,,
annual,B2,new,0,,
anxious,B2,new,0,,
anybody,A2,new,0,,
anyone,A1,new,0,,
anything,A1,new,0,,
anyway,A2,new,0,,
apart,B1,new,0,,
apartment,A1,new,0,,
apologize,B1,new,0,,
app,A2,new,0,,
apparent,B2,new,0,,
apparently,B2,new,0,,
appear,A2,new,0,,
appearance,A2,new,0,,
apple,A1,new,0,,
application,B1,new,0,,
apply,A2,new,0,,
appointment,B1,new,0,,
appreciate,B1,new,0,,
appropriate,B2,new,0,,
approval,B2,new,0,,
approve,B2,new,0,,
approximately,B1,new,0,,
april,A1,new,0,,
architect,A2,new,0,,
architecture,A2,new,0,,
area,A1,new,0,,
argue,A2,new,0,,
argument,A2,new,0,,
arise,B2,new,0,,
arm,A1,new,0,,
armed,B2,new,0,,
arms,B2,new,0,,
army,A2,new,0,,
arrange,A2,new,0,,
arrangement,A2,new,0,,
arrival,B1,new,0,,
arrive,A1,new,0,,
art,A1,new,0,,
article,A1,new,0,,
artificial,B2,new,0,,
artist,A1,new,0,,
artistic,B2,new,0,,
as,A1,new,0,,
ashamed,B2,new,0,,
ask,A1,new,0,,
asleep,A2,new,0,,
aspect,B2,new,0,,
assess,B2,new,0,,
assessment,B2,new,0,,
assignment,B1,new,0,,
assist,B1,new,0,,
associate,B2,new,0,,
associated,B2,new,0,,
association,B2,new,0,,
assume,B2,new,0,,
at,A1,new,0,,
athlete,A2,new,0,,
atmosphere,B1,new,0,,
attach,B1,new,0,,
attend,A2,new,0,,
attitude,B1,new,0,,
attract,B1,new,0,,
attraction,B1,new,0,,
attractive,A2,new,0,,
audience,A2,new,0,,
august,A1,new,0,,
aunt,A1,new,0,,
author,A2,new,0,,
authority,B1,new,0,,
autumn,A1,new,0,,
available,A2,new,0,,
avoid,A2,new,0,,
award,A2,new,0,,
aware,B1,new,0,,
away,A1,new,0,,
awful,A2,new,0,,
baby,A1,new,0,,
background,A2,new,0,,
backwards,B1,new,0,,
bacteria,B2,new,0,,
bad,A1,new,0,,
badly,A2,new,0,,
bag,A1,new,0,,
bake,B1,new,0,,
ball,A1,new,0,,
banana,A1,new,0,,
band,A1,new,0,,
bar,A2,new,0,,
barrier,B2,new,0,,
baseball,A2,new,0,,
based,A2,new,0,,
basic,B1,new,0,,
basically,B2,new,0,,
basis,B1,new,0,,
basketball,A2,new,0,,
bath,A1,new,0,,
bathroom,A1,new,0,,
battery,B1,new,0,,
battle,B1,new,0,,
beach,A1,new,0,,
bean,A2,new,0,,
beat,A2,new,0,,
beautiful,A1,new,0,,
beauty,B1,new,0,,
because,A1,new,0,,
become,A1,new,0,,
bed,A1,new,0,,
bedroom,A1,new,0,,
bee,B1,new,0,,
beef,A2,new,0,,
beer,A1,new,0,,
before,A1,new,0,,
beg,B2,new,0,,
begin,A1,new,0,,
beginning,A1,new,0,,
behave,A2,new,0,,
behaviour,A2,new,0,,
being,B2,new,0,,
belief,B1,new,0,,
believe,A1,new,0,,
bell,B1,new,0,,
belong,A2,new,0,,
belt,A2,new,0,,
benefit,A2,new,0,,
bent,B2,new,0,,
best,A1,new,0,,
better,A1,new,0,,
between,A1,new,0,,
bicycle,A1,new,0,,
big,A1,new,0,,
bike,A1,new,0,,
bill,A1,new,0,,
billion number,A2,new,0,,
bin,A2,new,0,,
biology,A2,new,0,,
bird,A1,new,0,,
birth,A2,new,0,,
birthday,A1,new,0,,
biscuit,A2,new,0,,
bit,A2,new,0,,
bitter,B2,new,0,,
blind,B2,new,0,,
blog,A1,new,0,,
blonde,A1,new,0,,
blood,A2,new,0,,
blow,A2,new,0,,
board,A2,new,0,,
boat,A1,new,0,,
body,A1,new,0,,
boil,A2,new,0,,
bond,B2,new,0,,
bone,A2,new,0,,
book,A1,new,0,,
boot,A1,new,0,,
border,B1,new,0,,
bored,A1,new,0,,
boring,A1,new,0,,
born,A1,new,0,,
borrow,A2,new,0,,
boss,A2,new,0,,
bother,B1,new,0,,
bottle,A1,new,0,,
bowl,A2,new,0,,
box,A1,new,0,,
boy,A1,new,0,,
boyfriend,A1,new,0,,
brain,A2,new,0,,
branch,B1,new,0,,
brave,B1,new,0,,
bread,A1,new,0,,
breakfast,A1,new,0,,
breast,B2,new,0,,
breath,B1,new,0,,
breathe,B1,new,0,,
breathing,B1,new,0,,
bride,B1,new,0,,
bridge,A2,new,0,,
brief,B2,new,0,,
bright,A2,new,0,,
brilliant,A2,new,0,,
bring,A1,new,0,,
broad,B2,new,0,,
broken,A2,new,0,,
brother,A1,new,0,,
bubble,B1,new,0,,
budget,B2,new,0,,
build,A1,new,0,,
building,A1,new,0,,
bullet,B2,new,0,,
bunch,B2,new,0,,
burn,A2,new,0,,
bury,B1,new,0,,
bus,A1,new,0,,
bush,B2,new,0,,
business,A1,new,0,,
businessman,A2,new,0,,
busy,A1,new,0,,
but,A1,new,0,,
butter,A1,new,0,,
button,A2,new,0,,
buy,A1,new,0,,
by,A1,new,0,,
bye,A1,new,0,,
cable,B2,new,0,,
cafe,A1,new,0,,
cake,A1,new,0,,
calculate,B2,new,0,,
camera,A1,new,0,,
camping,A2,new,0,,
campus,B1,new,0,,
cancel,B2,new,0,,
cancer,B2,new,0,,
candidate,B1,new,0,,
cannot,A1,new,0,,
cap,B1,new,0,,
capable,B2,new,0,,
