word,level,status,mastery,last_seen,scene,source,meaning_cn,example,collocations,scene_text
abolish,C1,learning,1,2026-05-25,Ada,American_Oxford_5000.pdf,,,,
abortion,C1,learning,1,2026-05-25,Claire,American_Oxford_5000.pdf,,,,
absence,C1,learning,1,2026-05-25,Jill,American_Oxford_5000.pdf,,,,
absent,C1,learning,1,2026-05-25,Sherry,American_Oxford_5000.pdf,,,,
absorb,B2,learning,1,2026-05-25,Rose,American_Oxford_5000.pdf,,,,
abstract,B2,learning,1,2026-05-25,Grace,American_Oxford_5000.pdf,,,,
absurd,C1,learning,1,2026-05-25,Rebecca,American_Oxford_5000.pdf,,,,
abuse,C1,learning,1,2026-05-25,Ashley,American_Oxford_5000.pdf,,,,
academy,C1,learning,1,2026-05-25,Ada,American_Oxford_5000.pdf,,,,
accelerate,C1,learning,1,2026-05-25,Claire,American_Oxford_5000.pdf,,,,
accent,B2,learning,1,2026-05-25,Jill,American_Oxford_5000.pdf,,,,
acceptance,C1,learning,1,2026-05-25,Sherry,American_Oxford_5000.pdf,,,,
accessible,C1,learning,1,2026-05-25,Rose,American_Oxford_5000.pdf,,,,
accidentally,B2,learning,1,2026-05-25,Grace,American_Oxford_5000.pdf,,,,
accommodate,B2,learning,1,2026-05-25,Rebecca,American_Oxford_5000.pdf,,,,
accommodation,B2,learning,1,2026-05-25,Ashley,American_Oxford_5000.pdf,,,,
accomplish,B2,new,0,,Ada,American_Oxford_5000.pdf,,,,
accomplishment,C1,new,0,,Claire,American_Oxford_5000.pdf,,,,
accordingly,C1,new,0,,Jill,American_Oxford_5000.pdf,,,,
accountability,C1,new,0,,Sherry,American_Oxford_5000.pdf,,,,
accountable,C1,new,0,,Rose,American_Oxford_5000.pdf,,,,
accountant,B2,new,0,,Grace,American_Oxford_5000.pdf,,,,
accumulate,C1,new,0,,Rebecca,American_Oxford_5000.pdf,,,,
accumulation,C1,new,0,,Ashley,American_Oxford_5000.pdf,,,,
accuracy,B2,new,0,,Ada,American_Oxford_5000.pdf,,,,
accurately,B2,new,0,,Claire,American_Oxford_5000.pdf,,,,
accusation,C1,new,0,,Jill,American_Oxford_5000.pdf,,,,
accused,C1,new,0,,Sherry,American_Oxford_5000.pdf,,,,
acid,B2,new,0,,Rose,American_Oxford_5000.pdf,,,,
acquisition,C1,new,0,,Grace,American_Oxford_5000.pdf,,,,
acre,B2,new,0,,Rebecca,American_Oxford_5000.pdf,,,,
activate,B2,new,0,,Ashley,American_Oxford_5000.pdf,,,,
